City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Teknaf,20.8624,92.3058,80.78,86,16,10.96,BD,2022-08-07 00:57:55
154,Hurghada,27.2574,33.8129,89.64,48,0,14.97,EG,2022-08-07 00:57:56
155,Port Hardy,50.6996,-127.4199,64.58,77,20,13.8,CA,2022-08-07 00:54:32
156,Sur,22.5667,59.5289,85.98,65,72,3.0,OM,2022-08-07 00:57:56
157,Trat,12.5,102.5,80.87,98,100,10.4,TH,2022-08-07 00:57:57
158,Narsaq,60.9167,-46.05,43.61,94,91,2.86,GL,2022-08-07 00:57:57
159,Funadhoo,6.15,73.2667,80.51,83,60,18.28,MV,2022-08-07 00:57:58
160,Colares,38.7992,-9.4469,67.33,76,0,11.99,PT,2022-08-07 00:57:58
161,Brookhaven,31.5791,-90.4407,77.25,74,33,4.83,US,2022-08-07 00:54:59
162,Muroto,33.2833,134.15,83.75,74,28,4.83,JP,2022-08-07 00:57:59
163,San Carlos De Bariloche,-41.1456,-71.3082,34.25,93,100,9.22,AR,2022-08-07 00:53:59
164,Qaanaaq,77.484,-69.3632,40.57,65,11,2.33,GL,2022-08-07 00:58:00
165,Bengkulu,-3.8004,102.2655,77.56,77,19,3.8,ID,2022-08-07 00:58:00
166,Gorontalo,0.5412,123.0595,80.58,78,100,2.13,ID,2022-08-07 00:58:00
167,Tuktoyaktuk,69.4541,-133.0374,53.6,94,100,18.41,CA,2022-08-07 00:54:34
168,Bowen,-20.0167,148.2333,71.17,84,100,1.59,AU,2022-08-07 00:53:19
169,Edgewater,28.9889,-80.9023,84.09,83,0,5.75,US,2022-08-07 00:58:02
170,Mayo,38.8876,-76.5119,84.2,89,100,1.01,US,2022-08-07 00:58:02
171,Kapaa,22.0752,-159.319,82.11,80,22,4.0,US,2022-08-07 00:58:03
172,Dukat,62.55,155.55,67.93,50,100,10.11,RU,2022-08-07 00:58:03
173,Georgetown,5.4112,100.3354,84.88,87,20,3.44,MY,2022-08-07 00:54:04
174,Broome,42.2506,-75.833,80.65,76,90,4.0,US,2022-08-07 00:58:04
175,Havre-Saint-Pierre,50.2334,-63.5986,61.16,72,100,0.0,CA,2022-08-07 00:58:05
176,Plettenberg Bay,-34.0527,23.3716,57.74,85,57,16.02,ZA,2022-08-07 00:54:36
177,Luderitz,-26.6481,15.1594,54.81,96,94,9.26,NA,2022-08-07 00:58:05
178,Marzuq,14.4,46.4667,76.53,54,100,7.67,YE,2022-08-07 00:58:06
179,Ilulissat,69.2167,-51.1,36.73,97,89,5.61,GL,2022-08-07 00:58:06
180,Egvekinot,66.3167,-179.1667,51.53,51,100,4.76,RU,2022-08-07 00:58:07
181,Roma,43.2128,-75.4557,78.87,94,14,3.33,US,2022-08-07 00:58:07
182,Thinadhoo,0.5333,72.9333,82.47,73,100,11.54,MV,2022-08-07 00:58:08
183,Dali,25.7,100.1833,67.08,86,65,2.77,CN,2022-08-07 00:58:08
184,Usinsk,65.9939,57.5281,64.71,77,0,9.98,RU,2022-08-07 00:58:09
185,Amberley,39.2048,-84.428,79.12,87,9,1.01,US,2022-08-07 00:58:10
186,Nizhniy Odes,63.6445,54.856,62.6,76,5,4.61,RU,2022-08-07 00:59:10
187,Henties Bay,-22.116,14.2845,55.99,88,66,4.34,NA,2022-08-07 00:59:12
188,Bethel,41.3712,-73.414,81.86,80,67,1.01,US,2022-08-07 00:59:12
189,Shihezi,44.3,86.0333,82.09,29,6,4.59,CN,2022-08-07 00:59:13
190,Manzanillo,20.3433,-77.1167,81.52,71,90,8.7,CU,2022-08-07 00:59:13
191,Solnechnyy,50.7214,136.6319,70.12,90,100,3.22,RU,2022-08-07 00:59:15
192,Nicoya,10.1483,-85.452,73.78,92,100,5.17,CR,2022-08-07 00:59:15
193,Lazaro Cardenas,17.9583,-102.2,78.48,87,100,4.32,MX,2022-08-07 00:59:15
194,Kieta,-6.2167,155.6333,84.72,70,100,6.76,PG,2022-08-07 00:59:17
195,Mahibadhoo,3.7833,72.9667,81.91,77,100,15.55,MV,2022-08-07 00:59:18
196,Kedrovyy,56.1667,91.8167,55.87,62,21,2.48,RU,2022-08-07 00:59:19
197,Mahanoro,-19.9,48.8,62.83,91,3,4.29,MG,2022-08-07 00:59:19
198,Lesozavodsk,45.4794,133.4244,79.74,72,77,10.04,RU,2022-08-07 00:59:20
199,Bathsheba,13.2167,-59.5167,80.06,97,75,17.27,BB,2022-08-07 00:59:20
200,Nandyal,15.4833,78.4833,76.41,84,100,10.78,IN,2022-08-07 00:59:22
201,Kamenka,51.3223,42.7678,68.43,45,73,8.37,RU,2022-08-07 00:59:22
202,Eregli,37.5133,34.0467,70.54,47,0,5.77,TR,2022-08-07 00:59:22
203,Vanimo,-2.6741,141.3028,84.69,66,91,4.34,PG,2022-08-07 00:59:23
204,Tucuma,-0.1833,-50.05,76.15,83,95,6.73,BR,2022-08-07 00:59:24
205,Vanavara,60.34,102.2797,54.12,90,100,9.95,RU,2022-08-07 00:59:24
206,Maues,-3.3836,-57.7186,78.26,67,93,3.11,BR,2022-08-07 00:59:25
207,Gisborne,-38.6533,178.0042,60.48,80,100,7.78,NZ,2022-08-07 00:59:25
208,Pisco,-13.7,-76.2167,62.65,77,0,4.61,PE,2022-08-07 00:59:26
209,Koygorodok,60.445,50.9968,61.66,84,34,3.24,RU,2022-08-07 00:59:26
210,Hai Duong,20.9333,106.3167,77.0,94,100,2.86,VN,2022-08-07 00:59:27
211,Sangueya,10.7,-14.3667,73.74,99,100,0.94,GN,2022-08-07 00:59:28
212,Malayal,7.208,121.942,78.6,85,100,5.08,PH,2022-08-07 00:59:28
213,Esso,55.9333,158.7,74.07,61,64,2.95,RU,2022-08-07 00:59:29
