City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Marhaura,IN,89.53,scattered clouds,25.9667,84.8667,Mishti Polutry Farm
306,Gogapur,IN,82.44,overcast clouds,23.55,75.5167,विशाल देवडा
308,Santo Domingo,DO,80.04,few clouds,18.5001,-69.9886,Cabañas City Heart
312,Diffa,NE,80.53,overcast clouds,13.3154,12.6113,ProDAF/Diffa
316,Port Said,EG,77.31,clear sky,31.2565,32.2841,Aracan Hotel
322,Adamas,GR,76.05,clear sky,36.7333,24.4333,Aphrodite of Milos
325,Faanui,PF,77.85,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
329,Broome,US,75.65,scattered clouds,42.2506,-75.833,Chenango Valley State Park
330,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
331,Laguna,US,77.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
339,Magdalena,PH,76.24,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
340,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
343,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
348,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
351,Asopos,GR,81.84,clear sky,36.7333,22.8667,Rachi Boza
353,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
358,Portland,US,84.18,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
360,Catuday,PH,82.13,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
365,Aksu,CN,82.8,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
371,Barela,IN,83.21,haze,23.1,80.05,Jain uttam Mistan bhandar
373,Usinsk,RU,77.25,clear sky,65.9939,57.5281,Dobro Pozhalovaty
378,Sampit,ID,89.37,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
380,Kieta,PG,84.42,light rain,-6.2167,155.6333,Uruna Bay Retreat
382,Vieux-Habitants,GP,78.71,overcast clouds,16.0589,-61.7659,Clos du Manguier
386,Manggar,ID,84.4,scattered clouds,-2.8833,108.2667,Guest Hotel
387,Melito Di Porto Salvo,IT,82.9,clear sky,37.9222,15.7714,B&B Nereidi
390,Palmer,US,78.44,clear sky,42.1584,-72.3287,Wedgewood Motel
391,Linguere,SN,81.12,broken clouds,15.3953,-15.1193,AYO Casablanca
393,Zhuanghe,CN,77.79,moderate rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
396,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
399,Bilokurakyne,UA,76.53,clear sky,49.5341,38.7307,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
400,Yuci,CN,80.35,moderate rain,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
406,Ternate,ID,82.63,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
407,Port Keats,AU,85.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
408,Sarankhola,BD,88.41,light rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
416,Hienghene,NC,76.24,scattered clouds,-20.6833,164.9333,Ka Waboana Lodge
420,Sulangan,PH,78.6,overcast clouds,11.1373,123.7228,Maia's Beach Resort
425,Atambua,ID,83.46,few clouds,-9.1061,124.8925,Kost Alfa Flat
428,Samarai,PG,81.77,clear sky,-10.6167,150.6667,Nuli Sapi
432,Tautira,PF,75.72,broken clouds,-17.7333,-149.15,Pension Oaoa
435,Hamilton,US,75.9,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
440,Gerash,IR,84.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
442,Lincoln,US,87.71,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
444,Pakxan,LA,75.24,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
446,Dwarka,IN,84.06,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
447,Arawa,PG,85.55,light rain,-6.2132,155.5367,Coastline Guest House
450,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
454,Amahai,ID,81.01,broken clouds,-3.3333,128.9167,HOTEL ISABELA
456,Lorengau,PG,83.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
